"name","total_pop","total_housing_unit"
"Frisco town, Colorado",2900,3399
"Fruita city, Colorado",13462,5180
"Fruitvale CDP, Colorado",8022,3372
"Fulford CDP, Colorado",0,44
"Garden City town, Colorado",165,115
"Gardner CDP, Colorado",57,103
"Garfield CDP, Colorado",0,35
"Genesee CDP, Colorado",4046,1642
"Genoa town, Colorado",126,108
"Georgetown town, Colorado",1104,748
"Gerrard CDP, Colorado",325,285
"Gilcrest town, Colorado",1082,331
"Glendale city, Colorado",4580,2946
"Glendale CDP, Colorado",68,104
"Gleneagle CDP, Colorado",6421,2658
"Glenwood Springs city, Colorado",10100,4295
"Golden city, Colorado",20461,8037
"Goldfield CDP, Colorado",166,127
"Gold Hill CDP, Colorado",249,148
"Granada town, Colorado",482,252
"Granby town, Colorado",2074,1803
"Grand Junction city, Colorado",65918,29851
"Grand Lake town, Colorado",281,876
"Grand View Estates CDP, Colorado",788,284
"Greeley city, Colorado",107949,40262
"Green Mountain Falls town, Colorado",518,471
"Greenwood Village city, Colorado",15537,6916
"Grover town, Colorado",165,92
"Guffey CDP, Colorado",29,104
"Gunbarrel CDP, Colorado",10108,4774
"Gunnison city, Colorado",6629,3217
"Gypsum town, Colorado",8291,2540
"Hartman town, Colorado",51,33
"Hartsel CDP, Colorado",0,0
"Hasty CDP, Colorado",92,63
"Haswell town, Colorado",61,32
"Haxtun town, Colorado",917,442
"Hayden town, Colorado",2057,890
"Heeney CDP, Colorado",66,171
"Hidden Lake CDP, Colorado",29,50
"Highlands Ranch CDP, Colorado",101514,38505
"Hillrose town, Colorado",229,118
"Hoehne CDP, Colorado",114,61
"Holly town, Colorado",771,339
"Holly Hills CDP, Colorado",2801,1027
"Holyoke city, Colorado",2430,1094
"Hooper town, Colorado",178,75
"Hotchkiss town, Colorado",1083,409
"Hot Sulphur Springs town, Colorado",906,332
"Howard CDP, Colorado",976,664
"Hudson town, Colorado",2167,726
"Hugo town, Colorado",929,405
"Idaho Springs city, Colorado",2113,944
"Idalia CDP, Colorado",77,47
"Idledale CDP, Colorado",329,134
"Ignacio town, Colorado",1257,506
"Iliff town, Colorado",333,157
"Indian Hills CDP, Colorado",1445,690
"Inverness CDP, Colorado",2772,1815
"Jackson Lake CDP, Colorado",165,193
"Jamestown town, Colorado",287,150
"Jansen CDP, Colorado",235,87
"Joes CDP, Colorado",121,41
"Johnson Village CDP, Colorado",314,258
"Johnstown town, Colorado",17327,6555
"Julesburg town, Colorado",1187,664
"Keenesburg town, Colorado",1669,576
"Ken Caryl CDP, Colorado",33505,13814
"Kersey town, Colorado",1453,564
"Keystone CDP, Colorado",995,3605
"Kim town, Colorado",51,43
"Kiowa town, Colorado",609,264
"Kirk CDP, Colorado",75,47
"Kit Carson town, Colorado",228,154
"Kittredge CDP, Colorado",1021,453
"Kremmling town, Colorado",1779,695
"Lafayette city, Colorado",30295,13039
"Laird CDP, Colorado",5,5
"La Jara town, Colorado",669,311
"La Junta city, Colorado",7244,3386
"La Junta Gardens CDP, Colorado",132,102
"Lake City town, Colorado",465,492
"Lakeside town, Colorado",7,11
"Lakewood city, Colorado",156149,71683
"Lamar city, Colorado",7667,3485
"Laporte CDP, Colorado",2233,1111
"Larkspur town, Colorado",182,96
"La Salle town, Colorado",2874,987
"Las Animas city, Colorado",2421,1252
"La Veta town, Colorado",830,604
"Lazear CDP, Colorado",142,44
"Lazy Acres CDP, Colorado",1014,479
"Leadville city, Colorado",2622,1420
"Leadville North CDP, Colorado",2003,828
"Lewis CDP, Colorado",149,97
"Leyner CDP, Colorado",0,0
"Limon town, Colorado",1479,824
"Lincoln Park CDP, Colorado",4413,1844
"Littleton city, Colorado",45531,21618
"Lochbuie town, Colorado",7963,2925
"Loghill Village CDP, Colorado",673,477
"Log Lane Village town, Colorado",808,297
"Loma CDP, Colorado",1481,395
"Lone Tree city, Colorado",13993,6624
"Longmont city, Colorado",98282,41429
"Louisville city, Colorado",20920,8306
"Louviers CDP, Colorado",266,128
"Loveland city, Colorado",76500,33958
"Lynn CDP, Colorado",10,3
"Lyons town, Colorado",1936,802
"McClave CDP, Colorado",93,51
"McCoy CDP, Colorado",0,0
"Manassa town, Colorado",936,410
"Mancos town, Colorado",1121,587
"Manitou Springs city, Colorado",4848,2639
"Manzanola town, Colorado",491,217
"Marble town, Colorado",191,105
"Marvel CDP, Colorado",92,36
"Matheson CDP, Colorado",28,20
"Maybell CDP, Colorado",21,19
"Maysville CDP, Colorado",168,165
"Mead town, Colorado",5110,1677
"Meeker town, Colorado",2500,1313
"Meridian CDP, Colorado",5029,2792
"Meridian Village CDP, Colorado",2499,929
"Merino town, Colorado",269,154
"Midland CDP, Colorado",255,149
"Milliken town, Colorado",8438,3189
"Minturn town, Colorado",978,561
"Moffat town, Colorado",54,38
"Monte Vista city, Colorado",4201,1780
"Montezuma town, Colorado",118,64
"Montrose city, Colorado",20394,9413
"Monument town, Colorado",10548,3936
"Morgan Heights CDP, Colorado",289,107
"Morrison town, Colorado",393,128
"Mountain Meadows CDP, Colorado",179,92
"Mountain View town, Colorado",682,273
"Mountain Village town, Colorado",1582,1751
"Mount Crested Butte town, Colorado",869,1512
"Mulford CDP, Colorado",539,219
"Nathrop CDP, Colorado",148,231
"Naturita town, Colorado",479,254
"Nederland town, Colorado",1413,651
"New Castle town, Colorado",4874,1899
"Niwot CDP, Colorado",4091,1619
"No Name CDP, Colorado",269,87
"Norrie CDP, Colorado",0,0
"Northglenn city, Colorado",37948,14646
"North La Junta CDP, Colorado",461,214
"North Washington CDP, Colorado",232,212
"Norwood town, Colorado",558,263
"Nucla town, Colorado",634,349
"Nunn town, Colorado",425,210
"Oak Creek town, Colorado",681,433
"Olathe town, Colorado",1901,567
"Olney Springs town, Colorado",477,163
"Ophir town, Colorado",180,69
"Orchard CDP, Colorado",86,47
"Orchard City town, Colorado",3150,1421
"Orchard Mesa CDP, Colorado",7173,2948
"Ordway town, Colorado",1874,627
"Otis town, Colorado",556,286
"Ouray city, Colorado",1007,804
"Ovid town, Colorado",297,151
"Padroni CDP, Colorado",33,28
"Pagosa Springs town, Colorado",1643,868
"Palisade town, Colorado",2571,1233
"Palmer Lake town, Colorado",2642,1141
"Paoli town, Colorado",63,35
"Paonia town, Colorado",1571,894
"Parachute town, Colorado",1555,580
"Paragon Estates CDP, Colorado",857,395
"Park Center CDP, Colorado",2387,1094
"Parker town, Colorado",58733,21519
"Parshall CDP, Colorado",53,53
"Peetz town, Colorado",231,117
"Penrose CDP, Colorado",3900,1586
"Peoria CDP, Colorado",74,35
"Perry Park CDP, Colorado",1712,792
"Peyton CDP, Colorado",0,0
"Phippsburg CDP, Colorado",345,154
"Piedra CDP, Colorado",40,68
"Pierce town, Colorado",1018,400
