"NAME","Age_Group","Education_Level","Count"
"Colorado Springs city, Colorado","pop_25yrs_over","Less than 9th grade",6829
"Colorado Springs city, Colorado","pop_25yrs_over","9th to 12th grade, no diploma",11488
"Colorado Springs city, Colorado","pop_25yrs_over","High school graduate (includes equivalency)",62492
"Colorado Springs city, Colorado","pop_25yrs_over","Some college, no degree",75454
"Colorado Springs city, Colorado","pop_25yrs_over","Associate's degree",34041
"Colorado Springs city, Colorado","pop_25yrs_over","Bachelor's degree",79365
"Colorado Springs city, Colorado","pop_25yrs_over","Graduate or professional degree",53457
