"NAME","Age_Group","Education_Level","Count"
"Buffalo city, New York","pop_25yrs_over","Less than 9th grade",9743
"Buffalo city, New York","pop_25yrs_over","9th to 12th grade, no diploma",15427
"Buffalo city, New York","pop_25yrs_over","High school graduate (includes equivalency)",49724
"Buffalo city, New York","pop_25yrs_over","Some college, no degree",35129
"Buffalo city, New York","pop_25yrs_over","Associate's degree",17960
"Buffalo city, New York","pop_25yrs_over","Bachelor's degree",30868
"Buffalo city, New York","pop_25yrs_over","Graduate or professional degree",24049
